type_vehicule,roues_motrices,modele,marque,empattement,longueur_voiture,largeur_voiture,poids_vehicule,taille_moteur,taux_alésage,chevaux,consommation_ville,consommation_autoroute,prix
hayon,traction,G4,MITSUBISHI,243.6,439.9,168.4,1324.942232,156,91.2,145,12.38,9.8,14869.0
hayon,traction,MIRAGEG4,MITSUBISHI,243.6,439.9,168.4,1327.210192,156,91.2,145,12.38,9.8,14489.0
berline,traction,MONTERO,MITSUBISHI,244.6,437.9,166.1,1072.74508,122,85.1,88,9.41,7.35,6989.0
berline,traction,PAJERO,MITSUBISHI,244.6,437.9,166.1,1090.88876,122,85.1,88,9.41,7.35,8189.0
berline,traction,OUTLANDER,MITSUBISHI,244.6,437.9,166.1,1089.981576,110,80.5,116,10.23,7.84,9279.0
berline,traction,MIRAGEG4,MITSUBISHI,244.6,437.9,166.1,1089.981576,110,80.5,116,10.23,7.84,9279.0
berline,traction,VERSA,NISSAN,240.0,419.9,162.1,856.835288,97,80.0,69,7.59,6.36,5499.0
berline,traction,GT-R,NISSAN,240.0,419.9,162.1,914.895064,103,75.9,55,5.23,4.7,7099.0
berline,traction,ROGUE,NISSAN,240.0,419.9,162.1,869.989456,97,80.0,69,7.59,6.36,6649.0
berline,traction,LATIO,NISSAN,240.0,419.9,162.1,879.061296,97,80.0,69,7.59,6.36,6849.0
break,traction,TITAN,NISSAN,240.0,432.3,162.1,918.070208,97,80.0,69,7.59,6.36,7349.0
berline,traction,LEAF,NISSAN,240.0,419.9,162.1,884.957992,97,80.0,69,7.59,6.36,7299.0
hayon,traction,JUKE,NISSAN,240.0,420.6,162.1,919.884576,97,80.0,69,7.59,6.36,7799.0
berline,traction,LATIO,NISSAN,240.0,419.9,162.1,894.0298319999999,97,80.0,69,7.59,6.36,7499.0
break,traction,NOTE,NISSAN,240.0,432.3,162.1,923.966904,97,80.0,69,7.59,6.36,7999.0
coupé fermé,traction,CLIPPER,NISSAN,241.6,412.5,162.1,910.812736,97,80.0,69,7.59,6.36,8249.0
hayon,traction,ROGUE,NISSAN,246.9,440.4,165.6,1054.147808,120,84.6,97,8.71,6.92,8949.0
berline,traction,NV200,NISSAN,246.9,440.4,165.6,1044.168784,120,84.6,97,8.71,6.92,9549.0
berline,traction,DAYZ,NISSAN,255.0,461.5,168.9,1403.86724,181,87.1,152,13.84,10.69,13499.0
break,traction,FUGA,NISSAN,255.0,468.9,168.9,1495.039232,181,87.1,152,13.84,10.69,14399.0
berline,traction,OTTI,NISSAN,255.0,468.9,168.9,1387.99152,181,87.1,152,12.38,9.41,13499.0
hayon,propulsion,TEANA,NISSAN,231.9,433.6,172.5,1392.981032,181,87.1,160,12.38,9.41,17199.0
hayon,propulsion,KICKS,NISSAN,231.9,433.6,172.5,1423.825288,181,87.1,200,13.84,10.23,19699.0
hayon,propulsion,CLIPPER,NISSAN,252.0,453.4,172.5,1423.825288,181,87.1,160,12.38,9.41,18399.0
berline,propulsion,504,PEUGEOT,274.1,474.2,173.7,1369.84784,120,87.9,97,12.38,9.8,11900.0
berline,propulsion,304,PEUGEOT,274.1,474.2,173.7,1450.133624,152,94.0,95,8.4,7.13,13200.0
break,propulsion,504 SW,PEUGEOT,290.1,505.2,173.7,1465.10216,120,87.9,97,12.38,9.8,12440.0
break,propulsion,504,PEUGEOT,290.1,505.2,173.7,1555.82056,152,94.0,95,9.41,9.41,13860.0
berline,propulsion,504,PEUGEOT,274.1,474.2,173.7,1394.7954,120,87.9,95,12.38,9.8,15580.0
berline,propulsion,604SL,PEUGEOT,274.1,474.2,173.7,1475.081184,152,94.0,95,8.4,7.13,16900.0
break,propulsion,504,PEUGEOT,290.1,505.2,173.7,1490.04972,120,87.9,95,12.38,9.8,16695.0
break,propulsion,505STURBODIESEL,PEUGEOT,290.1,505.2,173.7,1580.76812,152,94.0,95,9.41,9.41,17075.0
berline,propulsion,504,PEUGEOT,274.1,474.2,173.7,1394.7954,120,87.9,97,12.38,9.8,16630.0
berline,propulsion,504,PEUGEOT,274.1,474.2,173.7,1475.081184,152,94.0,95,8.4,7.13,17950.0
berline,propulsion,604SL,PEUGEOT,274.3,474.2,173.5,1419.74296,134,91.7,142,13.07,9.8,18150.0
hayon,traction,FURYIII,PLYMOUTH,238.0,399.5,162.1,869.989456,90,75.4,68,6.36,5.74,5572.0
hayon,traction,CRICKET,PLYMOUTH,238.0,399.5,162.1,965.243776,98,77.0,102,9.8,7.84,7957.0
hayon,traction,FURYIII,PLYMOUTH,238.0,399.5,162.1,892.215464,90,75.4,68,7.59,6.19,6229.0
berline,traction,SATELLITE CUSTOM SW,PLYMOUTH,238.0,424.9,162.1,902.194488,90,75.4,68,7.59,6.19,6692.0
berline,traction,FURYGRANSEDAN,PLYMOUTH,238.0,424.9,162.1,993.820072,98,75.4,68,7.59,6.19,7609.0
break,traction,VALIANT,PLYMOUTH,262.4,443.5,164.1,1149.85572,122,85.1,88,9.8,7.84,8921.0
hayon,propulsion,DUSTER,PLYMOUTH,243.6,439.9,168.4,1278.222256,156,91.2,145,12.38,9.8,12764.0
hayon,propulsion,MACAN,PORSCHE,240.0,429.0,173.5,1260.078576,151,100.1,143,12.38,8.71,22018.0
coupé fermé,propulsion,PANAMERA,PORSCHE,227.3,429.0,165.1,1250.099552,194,95.0,207,13.84,9.41,32528.0
coupé fermé,propulsion,CAYENNE,PORSCHE,227.3,429.0,165.1,1250.099552,194,95.0,207,13.84,9.41,34028.0
cabriolet,propulsion,BOXTER,PORSCHE,227.3,429.0,165.1,1270.0576,194,95.0,207,13.84,9.41,37028.0
hayon,propulsion,CAYENNE,PORSCHE,249.9,446.3,183.6,1526.790672,203,100.1,288,13.84,8.4,31400.5
break,traction,12TL,RENAULT,244.1,461.0,168.9,1169.813768,132,87.9,90,10.23,7.59,9295.0
hayon,traction,5GTL,RENAULT,244.1,449.1,169.2,1115.83632,132,87.9,90,10.23,7.59,9895.0
hayon,traction,99E,SAAB,251.7,474.0,168.9,1205.647536,121,89.9,110,11.2,8.4,11850.0
berline,traction,99LE,SAAB,251.7,474.0,168.9,1222.43044,121,89.9,110,11.2,8.4,12170.0
hayon,traction,99LE,SAAB,251.7,474.0,168.9,1227.873544,121,64.5,110,11.2,8.4,15040.0
berline,traction,99GLE,SAAB,251.7,474.0,168.9,1251.006736,121,89.9,110,11.2,8.4,15510.0
hayon,traction,99GLE,SAAB,251.7,474.0,168.9,1273.686336,121,89.9,160,12.38,9.05,18150.0
berline,traction,99E,SAAB,251.7,474.0,168.9,1291.376424,121,89.9,160,12.38,9.05,18620.0
hayon,traction,DL,SUBARU,238.0,401.1,161.5,961.61504,108,91.9,73,9.05,7.59,7053.0
hayon,quatre_roues_motrices,DL,SUBARU,237.0,399.5,162.1,1016.04608,108,91.9,73,9.05,7.59,7603.0
berline,traction,BRZ,SUBARU,246.9,436.9,166.1,993.36648,108,91.9,82,8.4,7.13,7775.0
berline,traction,BAJA,SUBARU,246.9,436.9,166.1,1061.40528,108,91.9,94,9.05,7.35,9960.0
berline,quatre_roues_motrices,R1,SUBARU,246.4,436.9,166.1,1081.81692,108,91.9,82,9.8,9.41,9233.0
berline,quatre_roues_motrices,R2,SUBARU,246.4,436.9,166.1,1138.51592,108,91.9,111,9.8,8.11,11259.0
break,traction,TREZIA,SUBARU,246.4,440.7,166.1,1038.72568,108,91.9,82,8.4,7.35,7463.0
break,traction,TRIBECA,SUBARU,246.4,440.7,166.1,1113.56836,108,91.9,94,9.41,7.59,10198.0
break,quatre_roues_motrices,DL,SUBARU,246.1,440.9,166.1,1097.69264,108,91.9,82,10.23,8.11,8013.0
break,quatre_roues_motrices,DL,SUBARU,246.1,440.9,166.1,1202.0188,108,91.9,111,10.23,10.23,11694.0
hayon,traction,CORONAMARKII,TOYOTA,243.1,403.1,161.5,900.38012,92,77.5,62,6.72,6.03,5348.0
hayon,traction,CORONA,TOYOTA,243.1,403.1,161.5,925.32768,92,77.5,62,7.59,6.19,6338.0
hayon,traction,COROLLA1200,TOYOTA,243.1,403.1,161.5,913.98788,92,77.5,62,7.59,6.19,6488.0
break,traction,CORONAHARDTOP,TOYOTA,243.1,431.0,161.5,1034.18976,92,77.5,62,7.59,6.36,6918.0
break,quatre_roues_motrices,COROLLA 1600 SW,TOYOTA,243.1,431.0,161.5,1038.72568,92,77.5,62,8.71,7.35,7898.0
break,quatre_roues_motrices,CARINA,TOYOTA,243.1,431.0,161.5,1410.67112,92,77.5,62,8.71,7.35,8778.0
berline,traction,MARKII,TOYOTA,243.1,422.4,163.6,943.924952,98,81.0,70,7.84,6.36,6938.0
hayon,traction,COROLLA1200,TOYOTA,243.1,422.4,163.6,956.625528,98,81.0,70,7.84,6.36,7198.0
berline,traction,CORONA,TOYOTA,243.1,422.4,163.6,1031.9218,110,83.1,56,6.92,6.53,7898.0
hayon,traction,COROLLA,TOYOTA,243.1,422.4,163.6,1031.9218,110,83.1,56,6.19,5.0,7788.0
berline,traction,CORONA,TOYOTA,243.1,422.4,163.6,949.821648,98,81.0,70,6.19,5.0,7738.0
hayon,traction,COROLLA,TOYOTA,243.1,422.4,163.6,962.522224,98,81.0,70,8.4,6.92,8358.0
berline,traction,MARKII,TOYOTA,243.1,422.4,163.6,970.68688,98,81.0,70,8.4,6.92,9258.0
berline,propulsion,COROLLA LIFTBACK,TOYOTA,240.0,428.5,162.6,983.841048,98,81.0,70,8.11,6.92,8058.0
hayon,propulsion,CORONA,TOYOTA,240.0,428.5,162.6,999.716768,98,81.0,70,8.11,6.92,8238.0
berline,propulsion,CELICA GT LIFTBACK,TOYOTA,240.0,428.5,162.6,1027.38588,98,82.3,112,9.05,8.11,9298.0
hayon,propulsion,COROLLA TERCEL,TOYOTA,240.0,428.5,162.6,1043.2616,98,82.3,112,9.05,8.11,9538.0
coupé fermé,propulsion,CORONA LIFTBACK,TOYOTA,249.9,447.5,166.6,1152.12368,146,91.9,116,9.8,7.84,8449.0
coupé fermé,propulsion,COROLLA,TOYOTA,249.9,447.5,166.6,1150.309312,146,91.9,116,9.8,7.84,9639.0
hayon,propulsion,STARLET,TOYOTA,249.9,447.5,166.6,1157.113192,146,91.9,116,9.8,7.84,9989.0
coupé fermé,propulsion,TERCEL,TOYOTA,249.9,447.5,166.6,1215.172968,146,91.9,116,9.8,7.84,11199.0
hayon,propulsion,COROLLA,TOYOTA,249.9,447.5,166.6,1231.048688,146,91.9,116,9.8,7.84,11549.0
cabriolet,propulsion,CRESSIDA,TOYOTA,249.9,447.5,166.6,1349.4362,146,91.9,116,9.8,7.84,17669.0
berline,traction,COROLLA,TOYOTA,260.1,446.0,168.9,1055.054992,122,84.1,92,8.11,6.92,8948.0
berline,traction,CELICA GT,TOYOTA,260.1,446.0,168.9,1124.90816,110,83.1,73,7.84,7.13,10698.0
hayon,traction,CORONA,TOYOTA,260.1,446.0,168.9,1094.971088,122,84.1,92,8.71,7.35,9988.0
berline,traction,COROLLA,TOYOTA,260.1,446.0,168.9,1094.971088,122,84.1,92,8.71,7.35,10898.0
hayon,traction,MARKII,TOYOTA,260.1,446.0,168.9,1114.929136,122,84.1,92,8.71,7.35,11248.0
hayon,propulsion,COROLLA LIFTBACK,TOYOTA,261.4,466.1,172.0,1349.889792,171,83.1,161,11.76,9.8,16558.0
hayon,propulsion,CORONA,TOYOTA,261.4,466.1,172.0,1368.033472,171,83.1,161,12.38,9.8,15998.0
berline,propulsion,STARLET,TOYOTA,265.4,477.0,168.9,1420.196552,171,83.1,156,11.76,9.8,15690.0
break,propulsion,TERCEL,TOYOTA,265.4,477.0,168.9,1429.268392,161,83.1,156,12.38,9.8,15750.0
berline,traction,RABBIT,VOLKSWAGEN,247.1,436.1,166.4,1025.571512,97,76.5,52,6.36,5.11,7775.0
berline,traction,1131 DELUXE SEDAN,VOLKSWAGEN,247.1,436.1,166.4,1001.984728,109,81.0,85,8.71,6.92,7975.0
berline,traction,MODEL111,VOLKSWAGEN,247.1,436.1,166.4,1026.932288,97,76.5,52,6.36,5.11,7995.0
berline,traction,TYPE3,VOLKSWAGEN,247.1,436.1,166.4,1003.345504,109,81.0,85,8.71,6.92,8195.0
berline,traction,411(SW),VOLKSWAGEN,247.1,436.1,166.4,1031.9218,109,81.0,85,8.71,6.92,8495.0
berline,traction,SUPERBEETLE,VOLKSWAGEN,247.1,436.1,166.4,1051.879848,97,76.5,68,6.36,5.6,9495.0
berline,traction,DASHER,VOLKSWAGEN,247.1,436.1,166.4,1043.2616,109,81.0,100,9.05,7.35,9995.0
cabriolet,traction,DASHER,VOLKSWAGEN,240.0,404.6,163.1,1022.396368,109,81.0,90,9.8,8.11,11595.0
hayon,traction,RABBIT,VOLKSWAGEN,240.0,420.9,162.6,1007.427832,109,81.0,90,9.8,8.11,9980.0
berline,traction,RABBIT,VOLKSWAGEN,255.0,457.7,169.9,1207.008312,136,81.0,110,12.38,9.8,13295.0
berline,traction,RABBIT CUSTOM,VOLKSWAGEN,255.0,457.7,169.9,1169.813768,97,76.5,68,7.13,6.19,13845.0
break,traction,DASHER,VOLKSWAGEN,255.0,465.1,169.9,1162.556296,109,81.0,88,9.41,7.59,12290.0
berline,propulsion,145E SW,VOLVO,264.9,479.6,170.7,1320.859904,141,96.0,114,10.23,8.4,12940.0
break,propulsion,144EA,VOLVO,264.9,479.6,170.7,1376.198128,141,96.0,114,10.23,8.4,13415.0
berline,propulsion,244 DL,VOLVO,264.9,479.6,170.7,1331.29252,141,96.0,114,9.8,8.4,15985.0
break,propulsion,245,VOLVO,264.9,479.6,170.7,1379.826864,141,96.0,114,9.8,8.4,16515.0
berline,propulsion,264 GL,VOLVO,264.9,479.6,170.7,1381.18764,130,91.9,162,13.84,10.69,18420.0
break,propulsion,DIESEL,VOLVO,264.9,479.6,170.7,1431.989944,130,91.9,162,13.84,10.69,18950.0
berline,propulsion,145E SW,VOLVO,277.1,479.6,175.0,1339.003584,141,96.0,114,10.23,8.4,16845.0
berline,propulsion,144EA,VOLVO,277.1,479.6,174.8,1383.002008,141,96.0,160,12.38,9.41,19045.0
berline,propulsion,244 DL,VOLVO,277.1,479.6,175.0,1366.219104,173,90.9,134,13.07,10.23,21485.0
berline,propulsion,246,VOLVO,277.1,479.6,175.0,1459.205464,145,76.5,106,9.05,8.71,22470.0
berline,propulsion,264 GL,VOLVO,277.1,479.6,175.0,1388.898704,141,96.0,114,12.38,9.41,22625.0
