car_ID,etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vehicule,type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,marque,modele
13,0,essence,standard,deux,berline,propulsion,avant,257.0,449.1,164.6,137.9,1229.23432,ohc,six,164,mpfi,84.1,81.0,9.0,121,4250,11.2,8.4,20970.0,BMW,X1
14,0,essence,standard,quatre,berline,propulsion,avant,257.0,449.1,164.6,137.9,1254.18188,ohc,six,164,mpfi,84.1,81.0,9.0,121,4250,11.2,8.4,21105.0,BMW,X3
15,1,essence,standard,quatre,berline,propulsion,avant,262.9,480.1,169.9,141.5,1385.72356,ohc,six,164,mpfi,84.1,81.0,9.0,121,4250,11.76,9.41,24565.0,BMW,Z4
16,0,essence,standard,quatre,berline,propulsion,avant,262.9,480.1,169.9,141.5,1465.10216,ohc,six,209,mpfi,91.9,86.1,8.0,182,5400,14.7,10.69,30760.0,BMW,X4
17,0,essence,standard,deux,berline,propulsion,avant,262.9,492.3,172.5,136.4,1533.14096,ohc,six,209,mpfi,91.9,86.1,8.0,182,5400,14.7,10.69,41315.0,BMW,X5
18,0,essence,standard,quatre,berline,propulsion,avant,279.4,500.4,180.1,143.0,1589.83996,ohc,six,209,mpfi,91.9,86.1,8.0,182,5400,15.68,11.76,36880.0,BMW,X3
19,2,essence,standard,deux,hayon,traction,avant,224.5,358.4,153.2,135.1,674.944896,l,three,61,2bbl,73.9,77.0,9.5,48,5100,5.0,4.44,5151.0,CHEVROLET,IMPALA
20,1,essence,standard,deux,hayon,traction,avant,240.0,396.0,161.5,132.1,850.0314079999999,ohc,quatre,90,2bbl,77.0,79.0,9.6,70,5400,6.19,5.47,6295.0,CHEVROLET,MONTECARLO
21,0,essence,standard,quatre,berline,traction,avant,240.0,403.4,161.5,132.1,865.907128,ohc,quatre,90,2bbl,77.0,79.0,9.6,70,5400,6.19,5.47,6575.0,CHEVROLET,VEGA2300
22,1,essence,standard,deux,hayon,traction,avant,238.0,399.5,162.1,129.0,850.938592,ohc,quatre,90,2bbl,75.4,82.0,9.41,68,5500,6.36,5.74,5572.0,DODGE,RAMPAGE
23,1,essence,standard,deux,hayon,traction,avant,238.0,399.5,162.1,129.0,850.938592,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6377.0,DODGE,CHALLENGERSE
24,1,essence,turbo,deux,hayon,traction,avant,238.0,399.5,162.1,129.0,965.243776,ohc,quatre,98,mpfi,77.0,86.1,7.6,102,5500,9.8,7.84,7957.0,DODGE,D200
25,1,essence,standard,quatre,hayon,traction,avant,238.0,399.5,162.1,128.5,892.215464,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6229.0,DODGE,MONACO(SW)
26,1,essence,standard,quatre,berline,traction,avant,238.0,399.5,162.1,128.5,902.194488,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6692.0,DODGE,COLTHARDTOP
27,1,essence,standard,quatre,berline,traction,avant,238.0,399.5,162.1,128.5,902.194488,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,7609.0,DODGE,COLT(SW)
28,1,essence,turbo,deux,berline,traction,avant,238.0,399.5,162.1,128.5,993.820072,ohc,quatre,98,mpfi,77.0,86.1,7.6,102,5500,9.8,7.84,8558.0,DODGE,CORONETCUSTOM
29,-1,essence,standard,quatre,break,traction,avant,262.4,443.5,164.1,151.9,1149.85572,ohc,quatre,122,2bbl,84.8,87.9,8.5,88,5000,9.8,7.84,8921.0,DODGE,DARTCUSTOM
30,3,essence,turbo,deux,hayon,traction,avant,243.6,439.9,168.4,127.5,1275.047112,ohc,quatre,156,mfi,91.4,99.1,7.0,145,5000,12.38,9.8,12964.0,DODGE,CORONETCUSTOM(SW)
31,2,essence,standard,deux,hayon,traction,avant,220.0,367.3,162.3,129.0,777.003096,ohc,quatre,92,1bbl,73.9,86.6,9.6,58,4800,4.8,4.36,6479.0,HONDA,CIVIC
32,2,essence,standard,deux,hayon,traction,avant,220.0,367.3,162.3,129.0,825.083848,ohc,quatre,92,1bbl,73.9,86.6,9.2,76,6000,7.59,6.19,6855.0,HONDA,CIVICCVCC
33,1,essence,standard,deux,hayon,traction,avant,238.0,381.0,162.6,133.6,833.248504,ohc,quatre,79,1bbl,73.9,78.0,10.1,60,5500,6.19,5.6,5399.0,HONDA,CIVIC
34,1,essence,standard,deux,hayon,traction,avant,238.0,381.0,162.6,133.6,879.96848,ohc,quatre,92,1bbl,73.9,86.6,9.2,76,6000,7.84,6.92,6529.0,HONDA,ACCORDCVCC
35,1,essence,standard,deux,hayon,traction,avant,238.0,381.0,162.6,133.6,887.225952,ohc,quatre,92,1bbl,73.9,86.6,9.2,76,6000,7.84,6.92,7129.0,HONDA,CIVICCVCC
36,0,essence,standard,quatre,berline,traction,avant,245.1,415.0,162.6,138.4,911.71992,ohc,quatre,92,1bbl,73.9,86.6,9.2,76,6000,7.84,6.92,7295.0,HONDA,ACCORDLX
37,0,essence,standard,quatre,break,traction,avant,245.1,399.0,162.3,148.1,918.070208,ohc,quatre,92,1bbl,74.2,86.6,9.2,76,6000,7.84,6.92,7295.0,HONDA,CIVIC1500GL
38,0,essence,standard,deux,hayon,traction,avant,245.1,425.4,165.6,135.4,1014.231712,ohc,quatre,110,1bbl,80.0,90.9,9.0,86,5800,8.71,7.13,7895.0,HONDA,ACCORD
39,0,essence,standard,deux,hayon,traction,avant,245.1,425.4,165.6,135.4,1038.272088,ohc,quatre,110,1bbl,80.0,90.9,9.0,86,5800,8.71,7.13,9095.0,HONDA,CIVIC1300
40,0,essence,standard,quatre,berline,traction,avant,245.1,445.5,165.6,137.4,1045.075968,ohc,quatre,110,1bbl,80.0,90.9,9.0,86,5800,8.71,7.13,8845.0,HONDA,PRELUDE
41,0,essence,standard,quatre,berline,traction,avant,245.1,445.5,158.8,137.4,1075.920224,ohc,quatre,110,1bbl,80.0,90.9,9.0,86,5800,8.71,7.13,10295.0,HONDA,ACCORD
42,0,essence,standard,quatre,berline,traction,avant,245.1,445.5,165.6,137.4,1118.10428,ohc,quatre,110,mpfi,80.0,90.9,9.0,101,5800,9.8,8.4,12945.0,HONDA,CIVIC
43,1,essence,standard,deux,berline,traction,avant,245.1,429.5,167.6,129.5,1040.086456,ohc,quatre,110,2bbl,80.0,90.9,9.1,100,5500,9.41,7.59,10345.0,HONDA,CIVIC(AUTO)
44,0,essence,standard,quatre,berline,propulsion,avant,239.5,433.6,157.0,135.9,1060.044504,ohc,quatre,111,2bbl,84.1,82.0,8.5,78,4800,9.8,8.11,6785.0,ISUZU,MU-X
45,1,essence,standard,deux,berline,traction,avant,240.0,396.0,161.5,132.1,850.0314079999999,ohc,quatre,90,2bbl,77.0,79.0,9.6,70,5400,6.19,5.47,8916.5,ISUZU,D-MAX
46,0,essence,standard,quatre,berline,traction,avant,240.0,396.0,161.5,132.1,865.907128,ohc,quatre,90,2bbl,77.0,79.0,9.6,70,5400,6.19,5.47,8916.5,ISUZU,D-MAXV-CROSS
47,2,essence,standard,deux,hayon,propulsion,avant,243.8,438.4,165.6,130.6,1240.120528,ohc,quatre,119,spfi,87.1,82.0,9.2,90,5000,9.8,8.11,11048.0,ISUZU,D-MAX
48,0,essence,standard,quatre,berline,propulsion,avant,287.0,507.0,176.8,134.1,1844.3050719999999,dohc,six,258,mpfi,92.2,105.9,8.1,176,4750,15.68,12.38,32250.0,JAGUAR,XJ
49,0,essence,standard,quatre,berline,propulsion,avant,287.0,507.0,176.8,134.1,1844.3050719999999,dohc,six,258,mpfi,92.2,105.9,8.1,176,4750,15.68,12.38,35550.0,JAGUAR,XF
50,0,essence,standard,deux,berline,propulsion,avant,259.1,486.9,179.3,121.4,1791.6884,ohcv,twelve,326,mpfi,89.9,70.1,11.5,262,5000,18.09,13.84,36000.0,JAGUAR,XK
51,1,essence,standard,deux,hayon,traction,avant,236.5,404.1,163.1,137.4,857.28888,ohc,quatre,91,2bbl,77.0,80.0,9.0,68,5000,7.84,7.59,5195.0,MAXDA,RX3
52,1,essence,standard,deux,hayon,traction,avant,236.5,404.1,163.1,137.4,861.8248,ohc,quatre,91,2bbl,77.0,80.0,9.0,68,5000,7.59,6.19,6095.0,MAXDA,GLCDELUXE
53,1,essence,standard,deux,hayon,traction,avant,236.5,404.1,163.1,137.4,864.09276,ohc,quatre,91,2bbl,77.0,80.0,9.0,68,5000,7.59,6.19,6795.0,MAZDA,RX2COUPE
54,1,essence,standard,quatre,berline,traction,avant,236.5,423.7,163.1,137.4,882.23644,ohc,quatre,91,2bbl,77.0,80.0,9.0,68,5000,7.59,6.19,6695.0,MAZDA,RX-4
55,1,essence,standard,quatre,berline,traction,avant,236.5,423.7,163.1,137.4,884.5044,ohc,quatre,91,2bbl,78.2,80.0,9.0,68,5000,7.59,6.19,7395.0,MAZDA,GLCDELUXE
56,3,essence,standard,deux,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1079.54896,rotor,deux,70,4bbl,84.6,82.7,9.4,101,6000,13.84,10.23,10945.0,MAZDA,626
57,3,essence,standard,deux,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1079.54896,rotor,deux,70,4bbl,84.6,82.7,9.4,101,6000,13.84,10.23,11845.0,MAZDA,GLC
58,3,essence,standard,deux,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1081.81692,rotor,deux,70,4bbl,84.6,82.7,9.4,101,6000,13.84,10.23,13645.0,MAZDA,RX-7GS
59,3,essence,standard,deux,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1133.98,rotor,deux,80,mpfi,84.6,82.7,9.4,135,6000,14.7,10.23,15645.0,MAZDA,GLC4
60,1,essence,standard,deux,hayon,traction,avant,251.0,451.6,168.9,136.4,1081.81692,ohc,quatre,122,2bbl,86.1,86.1,8.6,84,4800,9.05,7.35,8845.0,MAZDA,626
61,0,essence,standard,quatre,berline,traction,avant,251.0,451.6,168.9,141.0,1093.15672,ohc,quatre,122,2bbl,86.1,86.1,8.6,84,4800,9.05,7.35,8495.0,MAZDA,GLCCUSTOML
62,1,essence,standard,deux,hayon,traction,avant,251.0,451.6,168.9,136.4,1081.81692,ohc,quatre,122,2bbl,86.1,86.1,8.6,84,4800,9.05,7.35,10595.0,MAZDA,GLCCUSTOM
63,0,essence,standard,quatre,berline,traction,avant,251.0,451.6,168.9,141.0,1093.15672,ohc,quatre,122,2bbl,86.1,86.1,8.6,84,4800,9.05,7.35,10245.0,MAZDA,RX-4
64,0,diesel,standard,quatre,berline,traction,avant,251.0,451.6,168.9,141.0,1108.125256,ohc,quatre,122,idi,86.1,86.1,22.7,64,4650,6.53,5.6,10795.0,MAZDA,GLCDELUXE
65,0,essence,standard,quatre,hayon,traction,avant,251.0,451.6,168.9,141.0,1099.9605999999999,ohc,quatre,122,2bbl,86.1,86.1,8.6,84,4800,9.05,7.35,11245.0,MAZDA,626
66,0,essence,standard,quatre,berline,propulsion,avant,266.4,444.5,167.9,138.2,1211.09064,ohc,quatre,140,mpfi,95.5,80.3,8.0,120,5000,12.38,8.71,18280.0,MAZDA,GLC
67,0,diesel,standard,quatre,berline,propulsion,avant,266.4,444.5,167.9,138.2,1224.6984,ohc,quatre,134,idi,87.1,92.5,22.0,72,4200,7.59,6.03,18344.0,MAZDA,RX-7GS
68,-1,diesel,turbo,quatre,berline,propulsion,avant,279.4,484.9,178.6,143.5,1594.37588,ohc,five,183,idi,90.9,92.5,21.5,123,4350,10.69,9.41,25552.0,BUICK,ELECTRA225CUSTOM
69,-1,diesel,turbo,quatre,break,propulsion,avant,279.4,484.9,178.6,149.1,1700.97,ohc,five,183,idi,90.9,92.5,21.5,123,4350,10.69,9.41,28248.0,BUICK,CENTURYLUXUS(SW)
70,0,diesel,turbo,deux,coupé fermé,propulsion,avant,271.0,476.2,178.6,139.4,1585.30404,ohc,five,183,idi,90.9,92.5,21.5,123,4350,10.69,9.41,28176.0,BUICK,CENTURY
71,-1,diesel,turbo,quatre,berline,propulsion,avant,293.6,514.6,182.1,143.0,1710.04184,ohc,five,183,idi,90.9,92.5,21.5,123,4350,10.69,9.41,31600.0,BUICK,SKYHAWK
72,-1,essence,standard,quatre,berline,propulsion,avant,293.6,514.6,182.1,143.5,1696.43408,ohcv,eight,234,mpfi,87.9,78.7,8.3,155,4750,14.7,13.07,34184.0,BUICK,OPELISUZUDELUXE
73,3,essence,standard,deux,cabriolet,propulsion,avant,245.4,458.0,179.1,129.0,1671.48652,ohcv,eight,234,mpfi,87.9,78.7,8.3,155,4750,14.7,13.07,35056.0,BUICK,SKYLARK
74,0,essence,standard,quatre,berline,propulsion,avant,307.1,528.6,182.1,144.0,1769.0088,ohcv,eight,308,mpfi,96.5,85.1,8.0,184,4500,16.8,14.7,40960.0,BUICK,CENTURYSPECIAL
75,1,essence,standard,deux,coupé fermé,propulsion,avant,284.5,506.0,182.9,140.7,1685.09428,ohcv,eight,304,mpfi,96.5,85.1,8.0,184,4500,16.8,14.7,45400.0,BUICK,REGALSPORTCOUPE(TURBO)
76,1,essence,turbo,deux,hayon,propulsion,avant,260.9,453.1,172.7,139.2,1319.95272,ohc,quatre,140,mpfi,96.0,79.2,8.0,175,5000,12.38,9.8,16503.0,MERCURY,COUGAR
77,2,essence,standard,deux,hayon,traction,avant,238.0,399.5,163.6,129.0,869.989456,ohc,quatre,92,2bbl,75.4,82.0,9.4,68,5500,6.36,5.74,5389.0,MITSUBISHI,MIRAGE
78,2,essence,standard,deux,hayon,traction,avant,238.0,399.5,163.6,129.0,881.782848,ohc,quatre,92,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6189.0,MITSUBISHI,LANCER
79,2,essence,standard,deux,hayon,traction,avant,238.0,399.5,163.6,129.0,908.998368,ohc,quatre,92,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6669.0,MITSUBISHI,OUTLANDER
80,1,essence,turbo,deux,hayon,traction,avant,236.2,399.5,162.1,129.0,972.95484,ohc,quatre,98,spdi,77.0,86.1,7.6,102,5500,9.8,7.84,7689.0,MITSUBISHI,G4
81,3,essence,turbo,deux,hayon,traction,avant,244.6,439.4,166.1,125.5,1075.01304,ohc,quatre,110,spdi,80.5,87.9,7.5,116,5500,10.23,7.84,9959.0,MITSUBISHI,MIRAGEG4
82,3,essence,standard,deux,hayon,traction,avant,244.6,439.4,166.1,125.5,1055.962176,ohc,quatre,122,2bbl,85.1,87.9,8.5,88,5000,9.41,7.35,8499.0,MITSUBISHI,G4
83,3,essence,turbo,deux,hayon,traction,avant,243.6,439.9,168.4,127.5,1285.026136,ohc,quatre,156,spdi,90.9,98.0,7.0,145,5000,12.38,9.8,12629.0,MITSUBISHI,OUTLANDER
84,3,essence,turbo,deux,hayon,traction,avant,243.6,439.9,168.4,127.5,1324.9422319999999,ohc,quatre,156,spdi,91.2,98.0,7.0,145,5000,12.38,9.8,14869.0,MITSUBISHI,G4
85,3,essence,turbo,deux,hayon,traction,avant,243.6,439.9,168.4,127.5,1327.210192,ohc,quatre,156,spdi,91.2,98.0,7.0,145,5000,12.38,9.8,14489.0,MITSUBISHI,MIRAGEG4
86,1,essence,standard,quatre,berline,traction,avant,244.6,437.9,166.1,131.1,1072.74508,ohc,quatre,122,2bbl,85.1,87.9,8.5,88,5000,9.41,7.35,6989.0,MITSUBISHI,MONTERO
87,1,essence,standard,quatre,berline,traction,avant,244.6,437.9,166.1,131.1,1090.88876,ohc,quatre,122,2bbl,85.1,87.9,8.5,88,5000,9.41,7.35,8189.0,MITSUBISHI,PAJERO
88,1,essence,turbo,quatre,berline,traction,avant,244.6,437.9,166.1,131.1,1089.981576,ohc,quatre,110,spdi,80.5,87.9,7.5,116,5500,10.23,7.84,9279.0,MITSUBISHI,OUTLANDER
89,-1,essence,standard,quatre,berline,traction,avant,244.6,437.9,166.1,131.1,1089.981576,ohc,quatre,110,spdi,80.5,87.9,7.5,116,5500,10.23,7.84,9279.0,MITSUBISHI,MIRAGEG4
90,1,essence,standard,deux,berline,traction,avant,240.0,419.9,162.1,138.4,856.835288,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,5499.0,NISSAN,VERSA
91,1,diesel,standard,deux,berline,traction,avant,240.0,419.9,162.1,138.4,914.8950639999999,ohc,quatre,103,idi,75.9,88.1,21.9,55,4800,5.23,4.7,7099.0,NISSAN,GT-R
92,1,essence,standard,deux,berline,traction,avant,240.0,419.9,162.1,138.4,869.989456,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,6649.0,NISSAN,ROGUE
93,1,essence,standard,quatre,berline,traction,avant,240.0,419.9,162.1,138.4,879.061296,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,6849.0,NISSAN,LATIO
94,1,essence,standard,quatre,break,traction,avant,240.0,432.3,162.1,135.9,918.070208,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,7349.0,NISSAN,TITAN
95,1,essence,standard,deux,berline,traction,avant,240.0,419.9,162.1,138.4,884.957992,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,7299.0,NISSAN,LEAF
96,1,essence,standard,deux,hayon,traction,avant,240.0,420.6,162.1,135.4,919.884576,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,7799.0,NISSAN,JUKE
97,1,essence,standard,quatre,berline,traction,avant,240.0,419.9,162.1,138.4,894.0298319999999,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,7499.0,NISSAN,LATIO
98,1,essence,standard,quatre,break,traction,avant,240.0,432.3,162.1,135.9,923.966904,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,7999.0,NISSAN,NOTE
99,2,essence,standard,deux,coupé fermé,traction,avant,241.6,412.5,162.1,135.4,910.812736,ohc,quatre,97,2bbl,80.0,83.6,9.4,69,5200,7.59,6.36,8249.0,NISSAN,CLIPPER
100,0,essence,standard,quatre,hayon,traction,avant,246.9,440.4,165.6,138.9,1054.147808,ohc,quatre,120,2bbl,84.6,88.1,8.5,97,5200,8.71,6.92,8949.0,NISSAN,ROGUE
101,0,essence,standard,quatre,berline,traction,avant,246.9,440.4,165.6,138.9,1044.168784,ohc,quatre,120,2bbl,84.6,88.1,8.5,97,5200,8.71,6.92,9549.0,NISSAN,NV200
102,0,essence,standard,quatre,berline,traction,avant,255.0,461.5,168.9,140.0,1403.86724,ohcv,six,181,mpfi,87.1,83.1,9.0,152,5200,13.84,10.69,13499.0,NISSAN,DAYZ
103,0,essence,standard,quatre,break,traction,avant,255.0,468.9,168.9,142.5,1495.039232,ohcv,six,181,mpfi,87.1,83.1,9.0,152,5200,13.84,10.69,14399.0,NISSAN,FUGA
104,0,essence,standard,quatre,berline,traction,avant,255.0,468.9,168.9,140.0,1387.99152,ohcv,six,181,mpfi,87.1,83.1,9.0,152,5200,12.38,9.41,13499.0,NISSAN,OTTI
105,3,essence,standard,deux,hayon,propulsion,avant,231.9,433.6,172.5,126.2,1392.981032,ohcv,six,181,mpfi,87.1,83.1,9.0,160,5200,12.38,9.41,17199.0,NISSAN,TEANA
106,3,essence,turbo,deux,hayon,propulsion,avant,231.9,433.6,172.5,126.2,1423.825288,ohcv,six,181,mpfi,87.1,83.1,7.8,200,5200,13.84,10.23,19699.0,NISSAN,KICKS
107,1,essence,standard,deux,hayon,propulsion,avant,252.0,453.4,172.5,126.2,1423.825288,ohcv,six,181,mpfi,87.1,83.1,9.0,160,5200,12.38,9.41,18399.0,NISSAN,CLIPPER
108,0,essence,standard,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1369.84784,l,quatre,120,mpfi,87.9,81.0,8.4,97,5000,12.38,9.8,11900.0,PEUGEOT,504
109,0,diesel,turbo,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1450.133624,l,quatre,152,idi,94.0,89.4,21.0,95,4150,8.4,7.13,13200.0,PEUGEOT,304
110,0,essence,standard,quatre,break,propulsion,avant,290.1,505.2,173.7,149.1,1465.10216,l,quatre,120,mpfi,87.9,81.0,8.4,97,5000,12.38,9.8,12440.0,PEUGEOT,504(SW)
111,0,diesel,turbo,quatre,break,propulsion,avant,290.1,505.2,173.7,149.1,1555.82056,l,quatre,152,idi,94.0,89.4,21.0,95,4150,9.41,9.41,13860.0,PEUGEOT,504
112,0,essence,standard,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1394.7954,l,quatre,120,mpfi,87.9,55.6,8.4,95,5000,12.38,9.8,15580.0,PEUGEOT,504
113,0,diesel,turbo,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1475.081184,l,quatre,152,idi,94.0,89.4,21.0,95,4150,8.4,7.13,16900.0,PEUGEOT,604SL
114,0,essence,standard,quatre,break,propulsion,avant,290.1,505.2,173.7,144.0,1490.04972,l,quatre,120,mpfi,87.9,55.6,8.4,95,5000,12.38,9.8,16695.0,PEUGEOT,504
115,0,diesel,turbo,quatre,break,propulsion,avant,290.1,505.2,173.7,149.1,1580.76812,l,quatre,152,idi,94.0,89.4,21.0,95,4150,9.41,9.41,17075.0,PEUGEOT,505STURBODIESEL
116,0,essence,standard,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1394.7954,l,quatre,120,mpfi,87.9,81.0,8.4,97,5000,12.38,9.8,16630.0,PEUGEOT,504
117,0,diesel,turbo,quatre,berline,propulsion,avant,274.1,474.2,173.7,144.0,1475.081184,l,quatre,152,idi,94.0,89.4,21.0,95,4150,8.4,7.13,17950.0,PEUGEOT,504
118,0,essence,turbo,quatre,berline,propulsion,avant,274.3,474.2,173.5,142.2,1419.74296,l,quatre,134,mpfi,91.7,81.5,7.0,142,5600,13.07,9.8,18150.0,PEUGEOT,604SL
119,1,essence,standard,deux,hayon,traction,avant,238.0,399.5,162.1,129.0,869.989456,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,6.36,5.74,5572.0,PLYMOUTH,FURYIII
120,1,essence,turbo,deux,hayon,traction,avant,238.0,399.5,162.1,129.0,965.243776,ohc,quatre,98,spdi,77.0,86.1,7.6,102,5500,9.8,7.84,7957.0,PLYMOUTH,CRICKET
121,1,essence,standard,quatre,hayon,traction,avant,238.0,399.5,162.1,128.5,892.215464,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6229.0,PLYMOUTH,FURYIII
122,1,essence,standard,quatre,berline,traction,avant,238.0,424.9,162.1,129.0,902.194488,ohc,quatre,90,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,6692.0,PLYMOUTH,SATELLITECUSTOM(SW)
123,1,essence,standard,quatre,berline,traction,avant,238.0,424.9,162.1,129.0,993.820072,ohc,quatre,98,2bbl,75.4,82.0,9.4,68,5500,7.59,6.19,7609.0,PLYMOUTH,FURYGRANSEDAN
124,-1,essence,standard,quatre,break,traction,avant,262.4,443.5,164.1,151.9,1149.85572,ohc,quatre,122,2bbl,85.1,87.9,8.5,88,5000,9.8,7.84,8921.0,PLYMOUTH,VALIANT
125,3,essence,turbo,deux,hayon,propulsion,avant,243.6,439.9,168.4,127.5,1278.222256,ohc,quatre,156,spdi,91.2,98.0,7.0,145,5000,12.38,9.8,12764.0,PLYMOUTH,DUSTER
126,3,essence,standard,deux,hayon,propulsion,avant,240.0,429.0,173.5,127.5,1260.0785759999999,ohc,quatre,151,mpfi,100.1,79.0,9.5,143,5500,12.38,8.71,22018.0,PORSCHE,MACAN
127,3,essence,standard,deux,coupé fermé,propulsion,arrière,227.3,429.0,165.1,131.1,1250.099552,ohcf,six,194,mpfi,95.0,73.7,9.5,207,5900,13.84,9.41,32528.0,PORCSHCE,PANAMERA
128,3,essence,standard,deux,coupé fermé,propulsion,arrière,227.3,429.0,165.1,131.1,1250.099552,ohcf,six,194,mpfi,95.0,73.7,9.5,207,5900,13.84,9.41,34028.0,PORSCHE,CAYENNE
129,3,essence,standard,deux,cabriolet,propulsion,arrière,227.3,429.0,165.1,131.1,1270.0576,ohcf,six,194,mpfi,95.0,73.7,9.5,207,5900,13.84,9.41,37028.0,PORSCHE,BOXTER
130,1,essence,standard,deux,hayon,propulsion,avant,249.9,446.3,183.6,128.3,1526.790672,dohcv,eight,203,mpfi,100.1,79.0,10.0,288,5750,13.84,8.4,31400.5,PORSCHE,CAYENNE
131,0,essence,standard,quatre,break,traction,avant,244.1,461.0,168.9,140.2,1169.813768,ohc,quatre,132,mpfi,87.9,99.1,8.7,90,5100,10.23,7.59,9295.0,RENAULT,12TL
132,2,essence,standard,deux,hayon,traction,avant,244.1,449.1,169.2,128.3,1115.83632,ohc,quatre,132,mpfi,87.9,99.1,8.7,90,5100,10.23,7.59,9895.0,RENAULT,5GTL
